Dia,Ciudad,Ene,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Almeria,9.683333333333334,10.366666666666667,11.416666666666666,12.633333333333333,13.733333333333333,14.533333333333333,14.633333333333333,14.0,12.95,11.8,10.633333333333333,9.833333333333334
2,Almeria,9.7,10.4,11.433333333333334,12.65,13.766666666666667,14.533333333333333,14.633333333333333,13.966666666666667,12.9,11.75,10.6,9.8
3,Almeria,9.7,10.433333333333334,11.483333333333333,12.7,13.8,14.566666666666666,14.616666666666667,13.95,12.866666666666667,11.716666666666667,10.566666666666666,9.783333333333333
4,Almeria,9.716666666666667,10.466666666666667,11.516666666666667,12.733333333333333,13.833333333333334,14.583333333333334,14.616666666666667,13.916666666666666,12.816666666666666,11.666666666666666,10.533333333333333,9.766666666666667
5,Almeria,9.733333333333333,10.5,11.55,12.783333333333333,13.85,14.583333333333334,14.583333333333334,13.883333333333333,12.8,11.633333333333333,10.5,9.75
6,Almeria,9.75,10.533333333333333,11.6,12.816666666666666,13.883333333333333,14.6,14.583333333333334,13.85,12.75,11.583333333333334,10.466666666666667,9.733333333333333
7,Almeria,9.766666666666667,10.566666666666666,11.633333333333333,12.866666666666667,13.916666666666666,14.6,14.566666666666666,13.816666666666666,12.716666666666667,11.55,10.45,9.716666666666667
8,Almeria,9.783333333333333,10.6,11.683333333333334,12.9,13.95,14.633333333333333,14.566666666666666,13.8,12.666666666666666,11.516666666666667,10.416666666666666,9.716666666666667
9,Almeria,9.8,10.633333333333333,11.716666666666667,12.933333333333334,13.983333333333333,14.633333333333333,14.533333333333333,13.766666666666667,12.633333333333333,11.483333333333333,10.383333333333333,9.7
10,Almeria,9.816666666666666,10.666666666666666,11.75,12.966666666666667,14.016666666666667,14.65,14.533333333333333,13.733333333333333,12.6,11.45,10.35,9.7
11,Almeria,9.833333333333334,10.7,11.8,13.0,14.05,14.65,14.516666666666667,13.683333333333334,12.566666666666666,11.4,10.316666666666666,9.683333333333334
12,Almeria,9.85,10.733333333333333,11.833333333333334,13.05,14.066666666666666,14.666666666666666,14.483333333333333,13.65,12.516666666666667,11.366666666666667,10.283333333333333,9.666666666666666
13,Almeria,9.883333333333333,10.766666666666667,11.883333333333333,13.083333333333334,14.083333333333334,14.666666666666666,14.483333333333333,13.616666666666667,12.483333333333333,11.333333333333334,10.266666666666667,9.666666666666666
14,Almeria,9.9,10.8,11.916666666666666,13.116666666666667,14.116666666666667,14.666666666666666,14.45,13.6,12.433333333333334,11.283333333333333,10.233333333333333,9.65
15,Almeria,9.916666666666666,10.833333333333334,11.966666666666667,13.166666666666666,14.15,14.683333333333334,14.433333333333334,13.566666666666666,12.416666666666666,11.25,10.2,9.65
16,Almeria,9.933333333333334,10.883333333333333,11.983333333333333,13.2,14.183333333333334,14.683333333333334,14.416666666666666,13.516666666666667,12.366666666666667,11.2,10.183333333333334,9.65
17,Almeria,9.966666666666667,10.916666666666666,12.033333333333333,13.233333333333333,14.216666666666667,14.683333333333334,14.4,13.483333333333333,12.333333333333334,11.166666666666666,10.15,9.633333333333333
18,Almeria,9.983333333333333,10.966666666666667,12.066666666666666,13.266666666666667,14.216666666666667,14.683333333333334,14.366666666666667,13.45,12.283333333333333,11.15,10.1,9.65
19,Almeria,10.0,11.0,12.116666666666667,13.3,14.25,14.683333333333334,14.333333333333334,13.416666666666666,12.25,11.116666666666667,10.083333333333334,9.633333333333333
20,Almeria,10.033333333333333,11.033333333333333,12.15,13.333333333333334,14.283333333333333,14.683333333333334,14.333333333333334,13.383333333333333,12.216666666666667,11.066666666666666,10.05,9.633333333333333
